Category,Maintenance Item,Status,Notes
Rooms,Shampoo bottle bracket paint,Pending,
Rooms,Muslim shower leakage,Pending,
Rooms,Door lock cylinders,Pending,
Rooms,Washroom flush,Pending,
Rooms,Exhaust fans,Pending,
Rooms,Paint touch ups,Pending,
Rooms,Washbasin stand paint,Pending,
Outside sitting areas,Bulbs,Pending,
Outside sitting areas,Holders,Pending,
Outside sitting areas,Wires,Pending,
Outside sitting areas,Generator service,Pending,
Outside sitting areas,Generator oil change,Pending,
In kitchen,Stove cleaning,Pending,
In kitchen,Apron,Pending,
In kitchen,Knife sharpening,Pending,
In kitchen,Duster,Pending,
In kitchen,Chef Hair nets,Pending,
In kitchen,Surf,Pending,
